entidad,anio,mes,nro_puntos_ventas,nro_consumos,monto_facturado,nro_feriados,nro_dias_feriados,especie_monetaria_circulacion,liquidez_total_m2,oferta_monetaria_m1
banco del austro,2015,5,7309,983745,60863353.21,,,,,
datafast,2015,6,39040,2182088,216524194.1,,,,,
medianet,2015,6,12382,987288,75896463.0,,,,,
banco del austro,2015,6,7696,273997,15445740.1,,,,,
datafast,2015,7,39560,2463600,238576255.6,,,,,
medianet,2015,7,12382,1059003,82680523.0,,,,,
banco del austro,2015,7,7344,211826,14067780.29,,,,,
datafast,2015,8,40235,2648297,289581012.4,,,,,
medianet,2015,8,12279,814064,54320543.0,,,,,
banco del austro,2015,8,7767,229080,16107041.56,,,,,
datafast,2015,9,40705,2560633,256124219.1,,,,,
medianet,2015,9,12285,767017,52095261.0,,,,,
banco del austro,2015,9,7795,305093,15799686.76,,,,,
datafast,2015,10,41409,2665325,246711710.8,,,,,
medianet,2015,10,12211,763017,51574312.0,,,,,
banco del austro,2015,10,7243,440302,30298170.32,,,,,
datafast,2015,11,41783,2710265,269401030.7,,,,,
medianet,2015,11,12157,778264,51058564.0,,,,,
banco del austro,2015,11,7283,231816,15269663.03,,,,,
datafast,2015,12,41877,3111214,309338309.2,,,,,
medianet,2015,12,12136,809396,53611489.0,,,,,
banco del austro,2015,12,7316,229929,14078115.07,,,,,
datafast,2016,1,41908,2509853,243082291.4,1,1,11494.35,39773.99,18841.48
medianet,2016,1,12098,718075,42114458.0,1,1,11494.35,39773.99,18841.48
banco del austro,2016,1,5152,203730,12882228.35,1,1,11494.35,39773.99,18841.48
datafast,2016,2,41029,2445285,247264381.7,1,2,11504.23,39941.03,19250.48
medianet,2016,2,12077,706017,40905546.0,1,2,11504.23,39941.03,19250.48
banco del austro,2016,2,5547,197076,12902284.68,1,2,11504.23,39941.03,19250.48
datafast,2016,3,41058,2604309,263686717.8,1,1,11563.48,40394.85,19534.08
medianet,2016,3,12037,746328,44191211.0,1,1,11563.48,40394.85,19534.08
banco del austro,2016,3,5753,205594,13653896.63,1,1,11563.48,40394.85,19534.08
datafast,2016,4,41430,2478134,247292797.7,0,0,12036.93,40546.65,19551.04
medianet,2016,4,12136,719212,45223977.0,0,0,12036.93,40546.65,19551.04
banco del austro,2016,4,5870,195921,12814711.95,0,0,12036.93,40546.65,19551.04
datafast,2016,5,41686,2708040,262068757.6,1,1,12019.26,40646.73,19867.41
medianet,2016,5,12136,775291,46538053.0,1,1,12019.26,40646.73,19867.41
banco del austro,2016,5,5928,239835,13740070.78,1,1,12019.26,40646.73,19867.41
datafast,2016,6,41583,2589906,237118184.8,0,0,12033.69,41331.59,20216.59
medianet,2016,6,12136,826285,47490228.0,0,0,12033.69,41331.59,20216.59
banco del austro,2016,6,4934,212221,11801533.11,0,0,12033.69,41331.59,20216.59
datafast,2016,7,41712,2750916,249916112.7,0,0,12161.62,41624.46,20253.32
medianet,2016,7,12136,686312,44922570.0,0,0,12161.62,41624.46,20253.32
banco del austro,2016,7,4856,228247,12887332.25,0,0,12161.62,41624.46,20253.32
datafast,2016,8,41953,2725513,293842425.3,1,1,12291.67,42704.33,20631.45
medianet,2016,8,12059,779863,47752634.0,1,1,12291.67,42704.33,20631.45
banco del austro,2016,8,4847,219904,13092721.52,1,1,12291.67,42704.33,20631.45
datafast,2016,9,42025,2656957,275766383.9,0,0,12367.71,43257.45,20794.54
medianet,2016,9,12059,899972,52264979.0,0,0,12367.71,43257.45,20794.54
banco del austro,2016,9,4800,213592,13060724.42,0,0,12367.71,43257.45,20794.54
datafast,2016,10,42236,2709478,253967077.8,1,1,12379.56,43617.73,20805.08
medianet,2016,10,12233,981626,53362441.0,1,1,12379.56,43617.73,20805.08
banco del austro,2016,10,4801,229599,13236311.07,1,1,12379.56,43617.73,20805.08
datafast,2016,11,42819,2682561,263986739.7,2,2,12414.64,44001.39,21140.03
medianet,2016,11,12059,985274,55142533.0,2,2,12414.64,44001.39,21140.03
banco del austro,2016,11,4777,220726,12585262.56,2,2,12414.64,44001.39,21140.03
datafast,2016,12,43142,3070387,295920483.4,1,1,13261.12,46188.27,22634.8
medianet,2016,12,12059,1106907,65057546.0,1,1,13261.12,46188.27,22634.8
banco del austro,2016,12,4816,248813,13940687.31,1,1,13261.12,46188.27,22634.8
datafast,2017,1,40661,2558232,246941864.1,1,1,12979.48,45257.48,21912.19
medianet,2017,1,12059,591399,62082711.0,1,1,12979.48,45257.48,21912.19
banco del austro,2017,1,4694,214604,12117966.59,1,1,12979.48,45257.48,21912.19
datafast,2017,2,40532,2412998,234241978.4,1,2,13147.25,45980.08,22193.52
medianet,2017,2,12059,669842,42550933.0,1,2,13147.25,45980.08,22193.52
banco del austro,2017,2,4861,212085,11234391.87,1,2,13147.25,45980.08,22193.52
datafast,2017,3,40642,2724607,288868861.4,0,0,13301.04,47075.93,23032.94
medianet,2017,3,12059,760016,49280833.0,0,0,13301.04,47075.93,23032.94
banco del austro,2017,3,4857,236889,23682631.4,0,0,13301.04,47075.93,23032.94
datafast,2017,4,40829,2912630,280886308.2,1,1,13582.73,47310.79,22842.3
medianet,2017,4,12059,677586,43299800.0,1,1,13582.73,47310.79,22842.3
banco del austro,2017,4,4830,231796,13356035.84,1,1,13582.73,47310.79,22842.3
datafast,2017,5,41332,3034122,281128640.5,2,2,13642.39,47129.41,22703.75
medianet,2017,5,12059,800243,52166866.0,2,2,13642.39,47129.41,22703.75
banco del austro,2017,5,4860,268614,14389468.01,2,2,13642.39,47129.41,22703.75
datafast,2017,6,41545,2986732,273139458.6,0,0,13730.2,47586.69,22824.91
