año,mes,mes_nombre,entidad_operadora,nro_dispositivos,nro_transacciones,monto,entidad_operadora_normalizada,nro_feriados,nro_dias,especie_monetaria_circulacion,liquidez_total_m2,oferta_monetaria_m1
2021,4,Abril,Medianet,25355,3056383,152235716.24,Medianet,2.0,2.0,17930.83,64332.16,28241.93
2021,5,Mayo,Medianet,22156,2267353,106316719.42,Medianet,1.0,1.0,17934.3,64513.99,28295.87
2021,6,Junio,Medianet,22905,2605112,115670747.63,Medianet,0.0,0.0,17907.24,65050.55,28252.74
2021,7,Julio,Medianet,23411,2854952,123320428.03,Medianet,0.0,0.0,17925.17,65724.75,28472.71
2021,8,Agosto,Medianet,23964,2854296,127254799.95,Medianet,1.0,1.0,17956.22,66318.48,28673.3
2021,9,Septiembre,Medianet,26537,2735061,123067419.75,Medianet,0.0,0.0,17965.89,67114.03,28930.55
2021,10,Octubre,Medianet,24650,2825301,126261035.13,Medianet,1.0,1.0,18273.42,67692.77,29161.43
2021,11,Noviembre,Medianet,23458,2797591,128947480.23,Medianet,2.0,2.0,18128.51,67919.47,29428.06
2021,12,Diciembre,Medianet,23044,3334692,154734645.33,Medianet,1.0,1.0,18683.97,70075.39,30254.96
2021,1,Enero,Banco del Austro,5058,323164,16824059.67,Banco Del Austro,1.0,1.0,17679.28,63141.97,27826.33
2021,2,Febrero,Banco del Austro,5070,321970,16248127.69,Banco Del Austro,1.0,2.0,17660.98,63199.85,27818.05
2021,3,Marzo,Banco del Austro,5234,397107,20597210.23,Banco Del Austro,0.0,0.0,17737.47,63928.88,28433.19
2021,4,Abril,Banco del Austro,5194,304708,16526691.47,Banco Del Austro,2.0,2.0,17930.83,64332.16,28241.93
2021,5,Mayo,Banco del Austro,5340,336169,18193079.99,Banco Del Austro,1.0,1.0,17934.3,64513.99,28295.87
2021,6,Junio,Banco del Austro,5399,383174,20131885.71,Banco Del Austro,0.0,0.0,17907.24,65050.55,28252.74
2021,7,Julio,Banco del Austro,5418,392257,19961144.55,Banco Del Austro,0.0,0.0,17925.17,65724.75,28472.71
2021,8,Agosto,Banco del Austro,5486,453870,22960734.26,Banco Del Austro,1.0,1.0,17956.22,66318.48,28673.3
2021,9,Septiembre,Banco del Austro,5434,426926,21171029.46,Banco Del Austro,0.0,0.0,17965.89,67114.03,28930.55
2021,10,Octubre,Banco del Austro,5339,407947,20798570.68,Banco Del Austro,1.0,1.0,18273.42,67692.77,29161.43
2021,11,Noviembre,Banco del Austro,5502,466441,24238314.86,Banco Del Austro,2.0,2.0,18128.51,67919.47,29428.06
2021,12,Diciembre,Banco del Austro,5498,499071,26381887.68,Banco Del Austro,1.0,1.0,18683.97,70075.39,30254.96
2022,1,Enero,Datafast,79673,10709453,621985511.17,Datafast,0.0,0.0,18352.07,69239.45,29590.12
2022,2,Febrero,Datafast,80174,10809496,620814525.11,Datafast,1.0,1.0,18439.18,70046.45,29554.67
2022,3,Marzo,Datafast,81048,12121993,709838484.4,Datafast,1.0,1.0,18360.04,71033.33,30176.47
2022,4,Abril,Datafast,80447,12300683,738058765.11,Datafast,1.0,1.0,18559.34,70908.39,29664.74
2022,5,Mayo,Datafast,80425,12796023,744220636.88,Datafast,2.0,2.0,18436.59,71141.79,29594.13
2022,6,Junio,Datafast,78846,11481106,653465744.52,Datafast,0.0,0.0,18555.11,71391.04,29541.45
2022,7,Julio,Datafast,80801,12917472,739404873.59,Datafast,0.0,0.0,18550.73,71671.62,29414.37
2022,8,Agosto,Datafast,81141,12820323,774730212.65,Datafast,1.0,1.0,18588.49,72494.98,29650.81
2022,9,Septiembre,Datafast,81104,12596811,744090153.13,Datafast,0.0,0.0,18602.56,72737.82,29507.66
2022,10,Octubre,Datafast,81586,13199519,760119263.78,Datafast,1.0,1.0,18689.49,72880.73,29442.38
2022,11,Noviembre,Datafast,81820,12803563,765231337.75,Datafast,2.0,2.0,18957.9,73420.53,29667.63
2022,12,Diciembre,Datafast,82266,15925503,932839600.27,Datafast,1.0,1.0,19226.42,75310.32,30190.8
2022,1,Enero,Medianet,21782,2600940,113312551.37,Medianet,0.0,0.0,18352.07,69239.45,29590.12
2022,2,Febrero,Medianet,21225,2507973,113019821.78,Medianet,1.0,1.0,18439.18,70046.45,29554.67
2022,3,Marzo,Medianet,21091,2722589,123261109.26,Medianet,1.0,1.0,18360.04,71033.33,30176.47
2022,4,Abril,Medianet,20516,2572712,126184252.21,Medianet,1.0,1.0,18559.34,70908.39,29664.74
2022,5,Mayo,Medianet,21009,3982731,172810060.11,Medianet,2.0,2.0,18436.59,71141.79,29594.13
2022,6,Junio,Medianet,19737,2244754,104507070.87,Medianet,0.0,0.0,18555.11,71391.04,29541.45
2022,7,Julio,Medianet,22029,2930537,127736374.58,Medianet,0.0,0.0,18550.73,71671.62,29414.37
2022,8,Agosto,Medianet,22561,2841807,128937579.81,Medianet,1.0,1.0,18588.49,72494.98,29650.81
2022,9,Septiembre,Medianet,23359,4821856,194812546.48,Medianet,0.0,0.0,18602.56,72737.82,29507.66
2022,10,Octubre,Medianet,23769,5123165,201743159.68,Medianet,1.0,1.0,18689.49,72880.73,29442.38
2022,11,Noviembre,Medianet,21835,4734487,188072145.87,Medianet,2.0,2.0,18957.9,73420.53,29667.63
2022,12,Diciembre,Medianet,24303,6038795,239476007.85,Medianet,1.0,1.0,19226.42,75310.32,30190.8
2022,1,Enero,Banco del Austro,5275,408759,20718836.69,Banco Del Austro,0.0,0.0,18352.07,69239.45,29590.12
2022,2,Febrero,Banco del Austro,5220,354587,18185694.6,Banco Del Austro,1.0,1.0,18439.18,70046.45,29554.67
2022,3,Marzo,Banco del Austro,5360,499754,25609738.65,Banco Del Austro,1.0,1.0,18360.04,71033.33,30176.47
2022,4,Abril,Banco del Austro,5182,442491,22799945.93,Banco Del Austro,1.0,1.0,18559.34,70908.39,29664.74
2022,5,Mayo,Banco del Austro,5112,499750,25048697.14,Banco Del Austro,2.0,2.0,18436.59,71141.79,29594.13
2022,6,Junio,Banco del Austro,4885,408696,19851777.63,Banco Del Austro,0.0,0.0,18555.11,71391.04,29541.45
2022,7,Julio,Banco del Austro,4879,437440,21430275.57,Banco Del Austro,0.0,0.0,18550.73,71671.62,29414.37
